student_id,status,projects_imported,files_imported,keywords_imported,licenses_imported,person_roles_imported,error
23025313,merged,1256,4879,6884,1256,4926,
23025328,merged,387,11979,138,387,551,
23041405,merged,1167,1388,1339,1142,2820,
23047806,merged,832,23583,9166,830,2793,
23071063,merged,16,16,0,6,7,
23071082,merged,133,67169,219,74,85,
23079239,merged,20,33,0,18,0,
23079506,merged,1518,21232,1727,1518,24757,
23080363,merged,886,15836,6093,386,3020,
23082320,merged,135,135,218,135,233,
23084716,merged,5936,114763,61900,5936,8623,
23100834,merged,2624,6709,20701,2624,11813,
23123639,merged,230,20322,1275,230,720,
23129103,merged,7511,77743,388,4971,483,
23129118,merged,0,0,0,0,0,
23129194,merged,143,437,72,0,137,
23135689,merged,500,2390,1133,300,679,
23148157,merged,2328,998,46844,271,9532,
23158572,merged,22,606,106,22,48,
23158587,merged,62,4087,352,62,156,
23173040,merged,1015,8620,6516,1005,2846,
23206422,merged,908,1527,3565,904,3550,
23220843,merged,2049,16559,2363,2049,2049,
23221189,merged,2285,61232,4866,928,2681,
23240175,merged,1517,2711,15469,1517,3187,
23262136,merged,26,0,0,26,0,
23273412,merged,1585,5457,793,0,1573,
23277555,merged,414,561,2942,349,414,
23293505,merged,232,20517,794,122,178,
23293539,merged,312,8511,1251,236,1057,
23308310,merged,100,25703,460,92,154,
23359384,merged,3205,20832,20684,2611,11569,
23365366,merged,809,1110,32147,808,1935,
23453618,merged,649,1498,9440,649,2879,
23455702,merged,11967,14823,446559,11952,22989,
23460503,merged,2953,33235,70345,5608,7422,
23514826,merged,400,400,2929,400,956,
23688981,merged,486,6132,999,486,2011,
23711815,merged,3005,6632,12751,2971,7598,
23724707,merged,5960,9007,211978,3704,11646,
23727550,merged,2684,143696,3832,62,4111,
