duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://doi.org/10.5255/UKDA-SN-1476-1,2,23460503;23460503,54475;54692
same_project_url,http://doi.org/10.5255/UKDA-SN-1559-1,2,23460503;23460503,54436;54659
same_project_url,http://doi.org/10.5255/UKDA-SN-1560-1,2,23460503;23460503,54167;54432
same_project_url,http://doi.org/10.5255/UKDA-SN-1687-1,2,23460503;23460503,53093;53189
same_project_url,http://doi.org/10.5255/UKDA-SN-1934-1,2,23460503;23460503,54439;54651
same_project_url,http://doi.org/10.5255/UKDA-SN-208-1,2,23460503;23460503,54410;54616
same_project_url,http://doi.org/10.5255/UKDA-SN-2196-1,2,23460503;23460503,53755;54059
same_project_url,http://doi.org/10.5255/UKDA-SN-2653-1,2,23460503;23460503,53711;54005
same_project_url,http://doi.org/10.5255/UKDA-SN-2798-1,2,23460503;23460503,54511;54686
same_project_url,http://doi.org/10.5255/UKDA-SN-28-1,2,23460503;23460503,54519;54740
same_project_url,http://doi.org/10.5255/UKDA-SN-3470-1,2,23460503;23460503,53127;53217
same_project_url,http://doi.org/10.5255/UKDA-SN-3569-1,2,23460503;23460503,53689;53981
same_project_url,http://doi.org/10.5255/UKDA-SN-3692-1,3,23460503;23460503;23460503,53286;53497;53638
same_project_url,http://doi.org/10.5255/UKDA-SN-3723-8,2,23460503;23460503,53754;54058
same_project_url,http://doi.org/10.5255/UKDA-SN-3758-1,2,23460503;23460503,54287;54561
same_project_url,http://doi.org/10.5255/UKDA-SN-3814-1,2,23460503;23460503,54224;54490
same_project_url,http://doi.org/10.5255/UKDA-SN-3884-1,2,23460503;23460503,54402;54604
same_project_url,http://doi.org/10.5255/UKDA-SN-3901-1,2,23460503;23460503,55578;55586
same_project_url,http://doi.org/10.5255/UKDA-SN-3921-1,2,23460503;23460503,54279;54548
same_project_url,http://doi.org/10.5255/UKDA-SN-3955-1,2,23460503;23460503,54204;54468
same_project_url,http://doi.org/10.5255/UKDA-SN-4028-1,2,23460503;23460503,54270;54541
same_project_url,http://doi.org/10.5255/UKDA-SN-4036-1,2,23460503;23460503,54208;54472
same_project_url,http://doi.org/10.5255/UKDA-SN-4169-1,2,23460503;23460503,53599;53839
same_project_url,http://doi.org/10.5255/UKDA-SN-4347-1,2,23460503;23460503,54473;54693
same_project_url,http://doi.org/10.5255/UKDA-SN-4371-1,2,23460503;23460503,54470;54662
same_project_url,http://doi.org/10.5255/UKDA-SN-4427-1,2,23460503;23460503,53104;53200
same_project_url,http://doi.org/10.5255/UKDA-SN-4523-1,2,23460503;23460503,53750;54056
same_project_url,http://doi.org/10.5255/UKDA-SN-4572-1,2,23460503;23460503,53617;53858
same_project_url,http://doi.org/10.5255/UKDA-SN-4579-1,2,23460503;23460503,54397;54621
same_project_url,http://doi.org/10.5255/UKDA-SN-4580-1,2,23460503;23460503,53082;53180
same_project_url,http://doi.org/10.5255/UKDA-SN-4606-1,2,23460503;23460503,53771;54075
same_project_url,http://doi.org/10.5255/UKDA-SN-4683-6,2,23460503;23460503,53265;53470
same_project_url,http://doi.org/10.5255/UKDA-SN-4691-1,2,23460503;23460503,53246;53453
same_project_url,http://doi.org/10.5255/UKDA-SN-4707-1,2,23460503;23460503,53271;53480
