source_student_id,project_type,project_count
23025313,OTHER_PROJECT,169
23025313,QDA_PROJECT,1
23025313,QD_PROJECT,1086
23025328,OTHER_PROJECT,17
23025328,QD_PROJECT,370
23041405,OTHER_PROJECT,1103
23041405,QD_PROJECT,64
23047806,OTHER_PROJECT,277
23047806,QDA_PROJECT,4
23047806,QD_PROJECT,551
23071063,OTHER_PROJECT,6
23071063,QDA_PROJECT,5
23071063,QD_PROJECT,5
23071082,OTHER_PROJECT,55
23071082,QD_PROJECT,78
23079239,OTHER_PROJECT,4
23079239,QDA_PROJECT,5
23079239,QD_PROJECT,11
23079506,OTHER_PROJECT,144
23079506,QDA_PROJECT,6
23079506,QD_PROJECT,1368
23080363,OTHER_PROJECT,17
23080363,QD_PROJECT,869
23082320,OTHER_PROJECT,135
23084716,NOT_A_PROJECT,2
23084716,OTHER_PROJECT,317
23084716,QDA_PROJECT,7
23084716,QD_PROJECT,5610
23100834,NOT_A_PROJECT,7
23100834,OTHER_PROJECT,63
23100834,QDA_PROJECT,41
23100834,QD_PROJECT,2513
23123639,NOT_A_PROJECT,1
23123639,QDA_PROJECT,4
23123639,QD_PROJECT,225
23129103,NOT_A_PROJECT,2616
23129103,OTHER_PROJECT,186
23129103,QDA_PROJECT,6
23129103,QD_PROJECT,4703
23129194,NOT_A_PROJECT,3
23129194,OTHER_PROJECT,2
23129194,QD_PROJECT,138
23135689,OTHER_PROJECT,200
23135689,QD_PROJECT,300
23148157,NOT_A_PROJECT,2057
23148157,OTHER_PROJECT,158
23148157,QD_PROJECT,113
23158572,OTHER_PROJECT,4
23158572,QD_PROJECT,18
23158587,OTHER_PROJECT,9
23158587,QDA_PROJECT,2
23158587,QD_PROJECT,51
23173040,OTHER_PROJECT,10
23173040,QDA_PROJECT,37
23173040,QD_PROJECT,968
23206422,NOT_A_PROJECT,1
23206422,OTHER_PROJECT,3
23206422,QD_PROJECT,904
23220843,NOT_A_PROJECT,27
23220843,OTHER_PROJECT,84
23220843,QDA_PROJECT,39
23220843,QD_PROJECT,1899
23221189,NOT_A_PROJECT,440
23221189,OTHER_PROJECT,327
23221189,QDA_PROJECT,72
23221189,QD_PROJECT,1446
23240175,OTHER_PROJECT,1497
23240175,QD_PROJECT,20
23262136,NOT_A_PROJECT,26
23273412,NOT_A_PROJECT,1077
23273412,OTHER_PROJECT,126
23273412,QDA_PROJECT,2
23273412,QD_PROJECT,380
23277555,NOT_A_PROJECT,1
23277555,OTHER_PROJECT,64
23277555,QD_PROJECT,349
23293505,OTHER_PROJECT,1
23293505,QDA_PROJECT,4
23293505,QD_PROJECT,227
23293539,OTHER_PROJECT,11
23293539,QDA_PROJECT,9
23293539,QD_PROJECT,292
23308310,OTHER_PROJECT,5
23308310,QD_PROJECT,95
23359384,NOT_A_PROJECT,1
23359384,OTHER_PROJECT,176
23359384,QDA_PROJECT,107
23359384,QD_PROJECT,2921
23365366,OTHER_PROJECT,50
23365366,QDA_PROJECT,33
23365366,QD_PROJECT,726
23453618,OTHER_PROJECT,437
23453618,QDA_PROJECT,1
23453618,QD_PROJECT,211
23455702,NOT_A_PROJECT,643
23455702,OTHER_PROJECT,10388
23455702,QD_PROJECT,936
23460503,QD_PROJECT,2953
23514826,OTHER_PROJECT,37
23514826,QD_PROJECT,363
23688981,NOT_A_PROJECT,35
23688981,OTHER_PROJECT,80
23688981,QDA_PROJECT,1
23688981,QD_PROJECT,370
23711815,NOT_A_PROJECT,689
23711815,OTHER_PROJECT,316
23711815,QDA_PROJECT,5
23711815,QD_PROJECT,1995
23724707,NOT_A_PROJECT,16
23724707,OTHER_PROJECT,5825
23724707,QD_PROJECT,119
23727550,NOT_A_PROJECT,276
23727550,OTHER_PROJECT,14
23727550,QDA_PROJECT,7
23727550,QD_PROJECT,2387
