project_type,global_project_id,source_student_id,title,example_files
QDA_PROJECT,247,23025313,Sociocultural context and innovation scale up,Dr_Akinyemi_PhD_Updated_19_6_27042020.nvp; Supplementary_file_1.pdf; Supplementary_file_2.pdf
QDA_PROJECT,2870,23047806,Data for: Socializing Policy Feedback: The Persistent Effects of Adolescent Policy Program Use on Po,Micatka_AHPAS_Data_Clean.tab; Micatka_AHPAS_Data_Clean_CSV.tab; Micatka_AHPAS_Data_Original.tab; Micatka_AHPAS_Data_Original_CSV.tab; Micatka_AHPAS_SurveyInstrument.pdf
QDA_PROJECT,2874,23047806,Interviews Regarding Data Curation for Qualitative Data Reuse and Big Social Research,Mannheimer_BSR01_Transcript.pdf; Mannheimer_BSR02_Transcript.pdf; Mannheimer_BSR03_Transcript.pdf; Mannheimer_BSR05_Transcript.pdf; Mannheimer_BSR06_Transcript.pdf
QD_PROJECT,1,23025313,Data from: Inner conflict in patients receiving oral anti-cancer agents: a qualitative study,Supplementary file-data.docx
QD_PROJECT,2,23025313,Data from: Identifying acne treatment uncertainties via a James Lind Alliance Priority Setting Partn,Acne PSP harvesting survey patient version no identifiers 230315.xlsx; Acne PSP harvesting survey professional version no identifiers 220315.xlsx
QD_PROJECT,3,23025313,Data from: How do doctors and nurses manage delirium in intensive care units? A qualitative study us,Delirium management ICU Sociodemographic and ICU data Dryad.xlsx
OTHER_PROJECT,6,23025313,Data from: Primary care management of headaches and how direct-access MRI fits: a qualitative study ,GP Interviews 14.10.17.rar
OTHER_PROJECT,12,23025313,Voices from the field  cultural capital transformation issues for dance practitioners,README.md; Thematic_analysis-_Code3-4.xlsx.zip
OTHER_PROJECT,14,23025313,Qualitative raw data and behavioral analysis for understanding VMMC policy decision-making,dataset_files
NOT_A_PROJECT,8510,23084716,Citizenship Acquisition in Canada & Germany,
NOT_A_PROJECT,8623,23084716,Adult webcam industry,
NOT_A_PROJECT,12305,23100834,transcripts and coding data,
